2022-12-05 00:00:00,17117.57
2022-12-06 00:00:00,16967.02
2022-12-07 00:00:00,17085.45
2022-12-08 00:00:00,16836.05
2022-12-09 00:00:00,17234.58
2022-12-10 00:00:00,17128.55
2022-12-11 00:00:00,17124.99
2022-12-12 00:00:00,17098.61
2022-12-13 00:00:00,17206.87
2022-12-14 00:00:00,17771.03
2022-12-15 00:00:00,17802.44
2022-12-16 00:00:00,17357.47
2022-12-17 00:00:00,16637.6
2022-12-18 00:00:00,16783.6
2022-12-19 00:00:00,16745.99
2022-12-20 00:00:00,16439.89
2022-12-21 00:00:00,16904.64
2022-12-22 00:00:00,16813.62
2022-12-23 00:00:00,16818.68
2022-12-24 00:00:00,16779.71
2022-12-25 00:00:00,16838.1
2022-12-26 00:00:00,16826.86
2022-12-27 00:00:00,16915.7
2022-12-28 00:00:00,16699.0
2022-12-29 00:00:00,16539.28
2022-12-30 00:00:00,16630.49
2022-12-31 00:00:00,16599.69
2023-01-01 00:00:00,16526.78
2023-01-02 00:00:00,16613.71
2023-01-03 00:00:00,16671.54
2023-01-04 00:00:00,16669.6
2023-01-05 00:00:00,16850.63
2023-01-06 00:00:00,16826.41
2023-01-07 00:00:00,16951.97
2023-01-08 00:00:00,16945.2
2023-01-09 00:00:00,17108.41
2023-01-10 00:00:00,17192.07
2023-01-11 00:00:00,17443.68
2023-01-12 00:00:00,17934.6
2023-01-13 00:00:00,18859.32
2023-01-14 00:00:00,19933.36
2023-01-15 00:00:00,20955.15
2023-01-16 00:00:00,20880.99
2023-01-17 00:00:00,21190.49
2023-01-18 00:00:00,21145.18
2023-01-19 00:00:00,20672.78
2023-01-20 00:00:00,21087.76
2023-01-21 00:00:00,22693.45
2023-01-22 00:00:00,22772.5
2023-01-23 00:00:00,22724.23
2023-01-24 00:00:00,22924.37
2023-01-25 00:00:00,22634.47
2023-01-26 00:00:00,23089.74
2023-01-27 00:00:00,23008.29
2023-01-28 00:00:00,23075.81
2023-01-29 00:00:00,23032.23
2023-01-30 00:00:00,23755.85
2023-01-31 00:00:00,22836.09
2023-02-01 00:00:00,23133.91
2023-02-02 00:00:00,23722.02
2023-02-03 00:00:00,23454.41
2023-02-04 00:00:00,23440.09
2023-02-05 00:00:00,23328.24
2023-02-06 00:00:00,22936.95
2023-02-07 00:00:00,22763.74
2023-02-08 00:00:00,23254.79
2023-02-09 00:00:00,22964.87
2023-02-10 00:00:00,21794.05
2023-02-11 00:00:00,21638.55
2023-02-12 00:00:00,21861.84
2023-02-13 00:00:00,21787.25
2023-02-14 00:00:00,21787.99
2023-02-15 00:00:00,22211.8
2023-02-16 00:00:00,24340.73
2023-02-17 00:00:00,23544.67
2023-02-18 00:00:00,24572.97
2023-02-19 00:00:00,24641.94
2023-02-20 00:00:00,24290.18
2023-02-21 00:00:00,24834.81
2023-02-22 00:00:00,24438.1
2023-02-23 00:00:00,24185.67
2023-02-24 00:00:00,23946.39
2023-02-25 00:00:00,23192.02
2023-02-26 00:00:00,23176.76
2023-02-27 00:00:00,23563.11
2023-02-28 00:00:00,23497.62
2023-03-01 00:00:00,23128.3
2023-03-02 00:00:00,23641.68
2023-03-03 00:00:00,23467.36
2023-03-04 00:00:00,22351.72
2023-03-05 00:00:00,22348.51
2023-03-06 00:00:00,22427.56
2023-03-07 00:00:00,22410.62
2023-03-08 00:00:00,22197.49
2023-03-09 00:00:00,21698.33
2023-03-10 00:00:00,20363.36
2023-03-11 00:00:00,20224.85
2023-03-12 00:00:00,20656.78
2023-03-13 00:00:00,22205.32
2023-03-14 00:00:00,24213.74
2023-03-15 00:00:00,24767.46
2023-03-16 00:00:00,24376.39
2023-03-17 00:00:00,25053.64
2023-03-18 00:00:00,27462.77
2023-03-19 00:00:00,26975.39
2023-03-20 00:00:00,28045.84
2023-03-21 00:00:00,27790.89
2023-03-22 00:00:00,28191.53
2023-03-23 00:00:00,27306.32
2023-03-24 00:00:00,28332.42
2023-03-25 00:00:00,27496.2
2023-03-26 00:00:00,27496.06
2023-03-27 00:00:00,27999.84
2023-03-28 00:00:00,27141.23
2023-03-29 00:00:00,27274.72
2023-03-30 00:00:00,28355.92
2023-03-31 00:00:00,28033.06
2023-04-01 00:00:00,28479.75
2023-04-02 00:00:00,28465.04
2023-04-03 00:00:00,28185.2
2023-04-04 00:00:00,27802.23
2023-04-05 00:00:00,28169.5
2023-04-06 00:00:00,28180.4
2023-04-07 00:00:00,28039.94
2023-04-08 00:00:00,27925.55
2023-04-09 00:00:00,27956.01
2023-04-10 00:00:00,28336.18
2023-04-11 00:00:00,29656.24
2023-04-12 00:00:00,30234.98
2023-04-13 00:00:00,29899.24
2023-04-14 00:00:00,30407.6
2023-04-15 00:00:00,30486.05
2023-04-16 00:00:00,30319.32
2023-04-17 00:00:00,30315.39
2023-04-18 00:00:00,29447.1
2023-04-19 00:00:00,30393.64
2023-04-20 00:00:00,28829.57
2023-04-21 00:00:00,28243.02
2023-04-22 00:00:00,27267.99
2023-04-23 00:00:00,27816.18
2023-04-24 00:00:00,27590.55
2023-04-25 00:00:00,27516.48
2023-04-26 00:00:00,28301.71
2023-04-27 00:00:00,28429.72
2023-04-28 00:00:00,29480.35
2023-04-29 00:00:00,29329.63
2023-04-30 00:00:00,29244.68
2023-05-01 00:00:00,29264.14
2023-05-02 00:00:00,28086.65
2023-05-03 00:00:00,28678.29
2023-05-04 00:00:00,29007.66
2023-05-05 00:00:00,28851.84
2023-05-06 00:00:00,29535.38
2023-05-07 00:00:00,28903.41
2023-05-08 00:00:00,28456.84
2023-05-09 00:00:00,27691.41
2023-05-10 00:00:00,27640.09
2023-05-11 00:00:00,27617.14
2023-05-12 00:00:00,26993.2
